Razão Social;Código;TICKER;CNPJ_FUNDO;COTA;ISIN;YEAR_DIV_AVERAGE
FDO INV IMOB RBR ALPHA FUNDOS DE FUNDOS;RBRF;RBRF11;27.529.279/0001-51;1623931;BRRBRFCTF003;0.6452349933643752
FDO INV IMOB RBR PRIVATE CRÉDITO IMOB;FRBR;;30.166.700/0001-11;1500000;BRFRBRR02M13;0.7372574000000001
FDO INV IMOB RBR PROPERTIES - FII;RBRP;RBRP11;21.408.063/0001-51;339960;BRRBRPCTF002;0.4952010527335714
FDO INV IMOB RIO BRAVO RENDA CORPORATIVA;FFCI;FFCI11;03.683.056/0001-86;2170000;BRFFCICTF005;0.6133333333333334
FDO INV IMOB RIO BRAVO RENDA VAREJO - FII;AGCX;AGCX11;15.576.907/0001-70;405000;BRAGCXCTF003;7.395833333333333
FDO INV IMOB RIO NEGRO - FII;RNGO;RNGO11;15.006.286/0001-90;2676000;BRRNGOCTF003;0.49500000000000005
FDO INV IMOB SÃO FERNANDO;SFND;SFND11;09.350.920/0001-04;981472;BRSFNDCTF006;0.8008333333333332
FDO INV IMOB SC 401;FISC;FISC11;12.804.013/0001-00;127800;BRFISCCTF008;0.1
FDO INV IMOB SCP;SCPF;SCPF11;01.657.856/0001-05;4200000;BRSCPFCTF003;0.05864129166666667
FDO INV IMOB SDI RIO BRAVO RENDA LOGISTICA - FII;SDIL;SDIL11;16.671.412/0001-93;3422972;BRSDILCTF004;0.5716990031249999
FDO INV IMOB SHOPPING PÁTIO HIGIENÓPOLIS;SHPH;SHPH11;03.507.519/0001-59;608950;BRSHPHCTF008;3.712499999999999
FDO INV IMOB TG ATIVO REAL;TGAR;TGAR11;25.032.881/0001-53;713404;BRTGARCTF009;0.8184210526315789
FDO INV IMOB THE ONE;ONEF;ONEF11;12.948.291/0001-23;911000;BRONEFCTF003;0.6908333333333333
FDO INV IMOB TOURMALET I;TORM;TORM13;26.395.660/0001-02;1880850;BRTORMCTF024;0.645
FDO INV IMOB TOURMALET II;TOUR;TOUR11 TOUR12 TOUR13;30.578.316/0001-26;800000;BRTOURCTF019;3.29975
FDO INV IMOB VBI FL 4440 - FII;FVBI;FVBI11;13.022.993/0001-44;2150000;BRFVBICTF004;0.4145133061433333
FDO INV IMOB VEREDA - FII;VERE;VERE11;08.693.497/0001-82;550084;BRVERECTF002;1.4874999999999998
FDO INV IMOB VIA PARQUE SHOPPING - FII;FVPQ;FVPQ11;00.332.266/0001-31;2584398;BRFVPQCTF015;1.1483333333333332
FDO INV IMOB VIDA NOVA - FII;FIVN;FIVN11;17.854.016/0001-64;9412630;;
FDO INV IMOB VOTORANTIM LOGISTICA;VTLT;VTLT11;27.368.600/0001-63;2115000;BRVTLTCTF001;0.7384909093636364
FDO INV IMOB VOTORANTIM SHOPPING;VSHO;VSHO11;23.740.595/0001-17;2098800;BRVSHOCTF002;0.6638166666666666
FII IRIDIUM RECEBÍVEIS IMOBILIÁRIOS;IRDM;IRDM11;28.830.325/0001-10;1448099;BRIRDMCTF004;0.5952216844577778
FII LOB MALLS FDO INV IMOB;LOBM;;31.964.557/0001-76;3000000;;
FUNDO DE FDO INV IMOB KINEA FII;KFOF;KFOF11;30.091.444/0001-40;1317933;BRKFOFCTF006;0.3828571428571429
FUNDO INV IMOB - OURINVEST CYRELA - FII;OUCY;OUCY11;28.516.650/0001-03;533916;BROUCYR07M12;0.4612155878293333
GENERAL SHOP E OUTLETS DO BRASIL FDO INV IMOB - FI;GSFI;;11.769.604/0001-13;68482196;;
GGR COVEPI RENDA FDO INV IMOB;GGRC;GGRC11;26.614.291/0001-00;6503028;BRGGRCCTF002;0.7163333333333334
GRUPO RCFA FDO INV IMOB;RCFA;;27.771.586/0001-44;11678533;;
HAZ FDO INV IMOB - FII;ATCR;ATCR11;14.631.148/0001-39;908046;BRATCRCTF008;0.0544977252925
HEDGE ATRIUM SHOPPING SANTO ANDRE FDO INV IMOB;ATSA;ATSA11;12.809.972/0001-00;1715200;BRATSACTF000;0.786
HEDGE BRASIL SHOPPING FDO INV IMOB;HGBS;HGBS11;08.431.747/0001-06;6718650;BRHGBSCTF000;1.145
HEDGE REALTY DEVELOPMENT FDO INV IMOB;HRDF;;16.929.519/0001-99;7587125;;
HEDGE SHOPPING PRAÇA DA MOÇA FDO INV IMOB;HMOC;HMOC11;14.733.211/0001-48;382017;BRHMOCCTF005;1.08
HEDGE TOP FOFII 2 FDO INV IMOB;FOFT;FOFT11;16.875.388/0001-04;1196040;BRFOFTCTF007;3.0524999999999998
HEDGE TOP FOFII 3 FDO INV IMOB;HFOF;HFOF11;18.307.582/0001-19;2468390;BRHFOFCTF002;0.6092857142857142
HEDGE TOP FOFII FDO INV IMOB;TFOF;TFOF11;20.834.884/0001-97;850530;BRTFOFCTF007;5.075
JHSF RIO BRAVO FAZENDA BOA VISTA CAP. PROT. - FII;RBBV;RBBV11;16.915.868/0001-51;1254164;BRRBBVCTF004;0.48207724064300006
JPP ALLOCATION MOGNO - FDO INV IMOB;JPPA;;30.982.880/0001-00;500000;;
JPP CAPITAL FDO INV IMOB - FII;JPPC;JPPC11;17.216.625/0001-98;55000;BRJPPCCTF001;1.8324450909
JS REAL ESTATE MULTIGESTÃO - FII;JSRE;JSRE11;13.371.132/0001-71;8081791;BRJSRECTF007;0.5241642857142857
JT PREV FDO INV IMOB DESENVOLVIMENTO HABITACIONAL;JTPR;JTPR11;23.876.086/0001-16;214674;BRJTPRCTF001;0.5062841333333333
KINEA HIGH YIELD CRI FDO INV IMOB - FII;KNHY;KNHY11;30.130.708/0001-28;4000000;BRKNHYCTF005;0.4666666666666667
KINEA II REAL ESTATE EQUITY FDO INV IMOB;KNRE;KNRE11;14.423.780/0001-97;18547161;BRKNRECTF006;0.15509192924700002
KINEA ÍNDICES DE PREÇOS FDO INV IMOB - FII;KNIP;KNIP11;24.960.430/0001-13;17450886;BRKNIPR03M14;0.677142857142857
KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII;KNRI;KNRI11;12.005.956/0001-65;15524207;BRKNRICTF007;0.7840000000000001
KINEA RENDIMENTOS IMOBILIÁRIOS FDO INV IMOB - FII;KNCR;KNCR11;16.706.958/0001-32;34902454;BRKNCRCTF000;0.5742857142857142
LATERES FDO INV IMOB - FII;LATR;LATR11B;17.209.378/0001-00;124104;BRLATRCTF009;13.5048498231
MAC FDO INV IMOB;DMAC;DMAC11;30.579.348/0001-46;156108;BRDMACCTF003;7.361337255800001
MALLS BRASIL PLURAL FDO INV IMOB;MALL;MALL11;26.499.833/0001-32;2636769;BRMALLCTF007;0.590816256635
MAXI RENDA FDO INV IMOB - FII;MXRF;MXRF11;97.521.225/0001-25;31482823;BRMXRFCTF008;0.06999999999999999
MÉRITO DESENVOLVIMENTO IMOBILIÁRIO I FII - FII;MFII;MFII11;16.915.968/0001-88;2002613;BRMFIICTF008;1.1555555555555554
MULTI PROPERTIES FDO INV IMOB - FII;PRTS;PRTS11;22.957.521/0001-74;51727500;;
MULTI SHOPPINGS FDO INV IMOB - FII;SHOP;SHOP11;22.459.737/0001-00;1200000;;
MULTIGESTÃO RENDA COMERCIAL FDO INV IMOB - FII;DRIT;DRIT11B;10.456.810/0001-00;463277;BRDRITCTF009;0.6975000000000001
NOVA I - FDO INV IMOB - FII;NVIF;NVIF11B;22.003.469/0001-17;337400;BRNVIFCTF009;0.9227972508571429
OPPORTUNITY FDO INV IMOB;FTCE;FTCE11B;01.235.622/0001-61;753397;BRFTCECTF005;37.24812710338
OURINVEST JPP FDO INV IMOB - FII;OUJP;OUJP11;26.091.656/0001-50;720000;BROUJPCTF006;0.8189715138849999
OURO PRETO DESENV IMOB I FDO INV IMOB - FII;ORPD;ORPD11;19.107.604/0001-60;290000;BRORPDCTF005;1.37931
PÁTRIA EDIFÍCIOS CORPORATIVOS FDO INV IMOB - FII;PATC;PATC11;30.048.651/0001-12;1502052;;
PEDRA DOURADA FDO INV IMOB - FII;PDDA;PDDA11B;13.974.819/0001-00;1061694;BRPDDACTF004;0.8094328442000001
PERSONALE I FDO INV IMOB - FII;PRSN;PRSN11B;14.056.001/0001-62;51699979;BRPRSNCTF005;0.0261115442
POLO FDO INV IMOB - FII RECEBÍVEIS IMOBILIÁRIOS I;PLRI;PLRI11;14.080.689/0001-16;954304;BRPLRICTF000;0.491337302
POLO FDO INV IMOB - RECEBÍVEIS IMOB II - FII;PORD;PORD11;17.156.502/0001-09;1000000;BRPORDCTF005;6.052597979350001
PROLOGIS BRAZIL LOGISTICS VENTURE FDO INV IMOB;PBLV;;31.962.875/0001-06;2750000;;
RB CAPITAL DESENV. RESID. II FDO INV IMOB - FII;RBDS;RBDS11;11.945.604/0001-27;126523;BRRBDSCTF006;6.166032136400001
RB CAPITAL GENERAL SHOP SULACAP FDO INV IMOB - FII;RBGS;RBGS11;13.652.006/0001-95;1078000;BRRBGSCTF009;0.16454566160833337
RB CAPITAL RENDA I FDO INV IMOB - FII;FIIP;FIIP11B;08.696.175/0001-97;927162;BRFIIPCTF001;1.446485583333333
RB CAPITAL RENDA II FDO INV IMOB - FII;RBRD;RBRD11;09.006.914/0001-34;1848383;BRRBRDCTF008;0.7515
RB CAPITAL RENDIMENTOS IMOB FDO INV IMOB - FII;RCRI;RCRI11B;26.511.274/0001-39;60014;BRRCRICTF005;7.72686966
RB CAPITAL TFO SITUS FDO INV IMOB - FII;RBTS;;29.299.737/0001-39;56525;;
REAG RENDA IMOBILIARIA FDO INV IMOB - FII;DOMC;DOMC11;17.374.696/0001-19;244380;BRDOMCCTF004;5.332510922
RENDA DE ESCRITÓRIOS FDO INV IMOB - FII;RDES;RDES11;14.793.782/0001-78;742000;BRRDESCTF000;0.2623916666666667
RIO BRAVO CRÉDITO IMOB IV FDO INV IMOB - FII;RBIV;;30.647.758/0001-87;1500000;;
RIO BRAVO CRÉDITO IMOBILIÁRIO I FDO INV IMOB;RBCB;RBCB11;12.659.641/0001-31;53100;BRRBCBCTF004;3.385833333333333
RIO BRAVO CRÉDITO IMOBILIÁRIO II FDO INV IMOB -FII;RBVO;RBVO11;15.769.670/0001-44;515824;BRRBVOCTF007;0.40750000000000003
SANTANDER AGÊNCIAS FDO INV IMOB - FII;SAAG;SAAG11;16.915.840/0001-14;5631512;BRSAAGCTF007;0.8724999999999999
SAO DOMINGOS FDO INV IMOB - FII;FISD;FISD11;16.543.270/0001-89;648776;;
SHOPPING WEST PLAZA FDO INV IMOB;WPLZ;WPLZ11;09.326.861/0001-39;989339;BRWPLZCTF004;0.35679383331416664
SOCOPA FDO INV IMOB - FII;REIT;REIT11;16.841.067/0001-99;26291;BRREITCTF007;22.111351989012498
SP DOWNTOWN FDO INV IMOB - FII;SPTW;SPTW11;15.538.445/0001-05;1798000;BRSPTWCTF002;0.5749999999999998
SPA FDO INV IMOB - FII;SPAF;SPAF11;18.311.024/0001-27;11270;BRSPAFCTF007;5.185902315149998
STARX FDO INV IMOB - FII;STRX;STRX11;11.044.355/0001-07;14682;BRSTRXCTF006;202.61957305
TRANSINC FDO INV IMOB - FII;TSNC;TSNC11;17.007.443/0001-07;18113;BRTSNCCTF009;30.432606202936164
TREECORP REAL ESTATE FDO INV IMOB - I;TCPF;;26.990.011/0001-50;290000;;
TRX EDIFÍCIOS CORPORATIVOS FDO INV IMOB - FII;XTED;XTED11;15.006.267/0001-63;1792557;BRXTEDCTF006;0.32328139699999997
TRX REALTY LOGÍSTICA RENDA I FDO INV IMOB - FII;TRXL;TRXL11;11.839.593/0001-09;1846797;BRTRXLCTF001;0.3299325048235294
V2 RENDA IMOBILIARIA FDO INV IMOB - FII;V2CR;;29.324.723/0001-28;800000;;
VALORA RE III FDO INV IMOB - FII;VGIR;VGIR11;29.852.732/0001-91;1120948;BRVGIRCTF008;0.62633966
VECTOR QUELUZ ATIVOS IMOB FDO INV IMOB;VLJS;VLJS11 VLJS12;13.842.683/0001-76;58977;BRVLJSCTF020;1.2483792
VINCI LOGÍSTICA FDO INV IMOB - FII;VILG;VILG11;24.853.044/0001-22;717200;BRVILGCTF001;0.53855
VINCI SHOPPING CENTERS FDO INVEST IMOB - FII;VISC;VISC11;17.554.274/0001-25;8160576;BRVISCR03M11;0.5449
VOTORANTIM SECURITIES MASTER FDO INV IMOB - FII;VOTS;VOTS11;17.870.926/0001-30;827913;BRVOTSCTF007;0.34375
XP CORPORATE MACAÉ FDO INV IMOB - FII;XPCM;XPCM11;16.802.320/0001-03;2414570;BRXPCMCTF009;0.8099999999999999
XP HOTÉIS - FDO INV IMOB - FII;VREH;;18.308.516/0001-63;530943;BRVREHR01M13;0.35975477650000004
XP INDUSTRIAL FDO INV IMOB - FII;XPIN;XPIN11;28.516.325/0001-40;2180089;BRXPINCTF004;0.6188235294117648
XP LOG FDO INV IMOB - FII;XPLG;XPLG11;26.502.794/0001-85;3661150;BRXPLGCTF002;0.5567116000000001
XP MALLS FDO INV IMOB FII;XPML;XPML11;28.757.546/0001-00;9484954;BRXPMLCTF000;0.49866575387562495
