TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;SIT;VL_PATRIM_LIQ;RAZAO_SOCIAL;CODIGO;TICKER;COTA;ISIN;YEAR_DIV_AVERAGE;PRICE_MARKET;PRICE_COTA_PATRIM
F.I.I.;18.085.673/0001-57;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII NCH BRASIL RECEBÍVEIS IMOBILIÁRIOS;EM FUNCIONAMENTO NORMAL;12261059,28;FDO INV IMOB - FII NCH BRASIL RECEB�VEIS IMOB;NCHB;NCHB11;41000;BRNCHBCTF000;3.23;0;299,05
F.I.I.;17.025.970/0001-44;FUNDO DE INVESTIMENTO IMOBILIARIO - FII NOVO HORIZONTE;EM FUNCIONAMENTO NORMAL;299307558,72;FDO INV IMOB - FII NOVO HORIZONTE;NVHO;NVHO11;41494533;BRNVHOCTF003;0.06;33.10;7,21
F.I.I.;14.788.492/0001-36;FUNDO DE INVESTIMENTO IMOBILIARIO - FII PATEO BANDEIRANTES;EM FUNCIONAMENTO NORMAL;172101769,71;FDO INV IMOB - FII PATEO BANDEIRANTES;PATB;;1723197;BRPATBCTF004;1.32;0;99,87
F.I.I.;29.467.977/0001-03;FUNDO DE INVESTIMENTO IMOBILIARIO - FII RBR RENDIMENTO HIGH GRADE;EM FUNCIONAMENTO NORMAL;261373834,81;FDO INV IMOB - FII RBR RENDIMENTO HIGH GRADE;RBRR;RBRR11;2728868;BRRBRRCTF008;0.57;106.50;95,78
F.I.I.;17.311.079/0001-74;FUNDO DE INVESTIMENTO IMOBILIARIO - FII SIA CORPORATE;EM FUNCIONAMENTO NORMAL;89586762,01;FDO INV IMOB - FII SIA CORPORATE;SAIC;SAIC11B;1429830;BRSAICCTF009;0.74;61.00;62,66
F.I.I.;17.365.105/0001-47;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII TB OFFICE;EM FUNCIONAMENTO NORMAL;877965048,36;FDO INV IMOB - FII TB OFFICE;TBOF;TBOF11;10050000;BRTBOFCTF006;0.2;81.85;87,36
F.I.I.;28.152.272/0001-26;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII UBS (BR) RECEBÍVEIS IMOBILIÁRIOS;EM FUNCIONAMENTO NORMAL;148818980,85;FDO INV IMOB - FII UBS (BR) RECEB IMOB;UBSR;UBSR11;1555780;BRUBSRCTF000;0.83;103.80;95,66
F.I.I.;28.152.272/0001-26;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII UBS (BR) RECEBÍVEIS IMOBILIÁRIOS;EM FUNCIONAMENTO NORMAL;148818980,85;FDO INV IMOB - FII UBS (BR) RECEB IMOB;UBSR;UBSR11;1555780;BRUBSRCTF000;0.83;103.80;95,66
F.I.I.;15.296.696/0001-12;FUNDO DE INVESTIMENTO IMOBILIARIO - FII VILA OLIMPIA CORPORATE;EM FUNCIONAMENTO NORMAL;151684410,42;FDO INV IMOB - FII VILA OL�MPIA CORPORATE;VLOL;VLOL11;1784828;BRVLOLCTF009;0.38;99.52;84,99
F.I.I.;26.846.202/0001-42;FUNDO DE INVESTIMENTO IMOBILIÁRIO - HABITAT I;EM FUNCIONAMENTO NORMAL;147949397,08;FDO INV IMOB HABITAT I;HBTT;HBTT11;66567;BRHBTTCTF001;10.9;1,125.00;2222,56
